fecha_del_pedido,cantidad
2014-12-29,3.657904134440898
2015-01-05,4.310854366372666
2015-01-12,4.718853028104281
2015-01-19,4.566726283476329
2015-01-26,4.564917505067416
2015-02-02,3.97869048422206
2015-02-09,4.609243644670618
2015-02-16,3.4632531758625626
2015-02-23,5.156573572193413
2015-03-02,4.644192023102537
2015-03-09,3.9105508389594315
2015-03-16,4.050309485059459
2015-03-23,4.378986185814938
2015-03-30,4.7532100216883135
2015-04-06,3.8026257103783565
2015-04-13,4.088809475181074
2015-04-20,4.080457914445039
2015-04-27,4.28406700595372
2015-05-04,4.2573731454878105
2015-05-11,4.1994238987555175
2015-05-18,4.692441945299778
2015-05-25,4.526138135277878
2015-06-01,4.89550934825199
2015-06-08,4.63968702598299
2015-06-15,4.993460250614404
2015-06-22,4.422975165993051
2015-06-29,4.637345492953274
2015-07-06,4.299170403418873
2015-07-13,4.859918818302334
2015-07-20,4.930130243563276
2015-07-27,4.9290150287870915
2015-08-03,4.797981935784729
2015-08-10,4.919364794737634
2015-08-17,4.708208106200882
2015-08-24,4.898310696452351
2015-08-31,4.870898836907889
2015-09-07,5.007892307993166
2015-09-14,4.798935657038654
2015-09-21,5.115456262495196
2015-09-28,4.886888442421385
2015-10-05,4.71343901065792
2015-10-12,5.025422719576422
2015-10-19,4.984322869038513
2015-10-26,4.794333218133587
2015-11-02,4.932696775912738
2015-11-09,4.762588512357816
2015-11-16,4.454739635105651
2015-11-23,5.081782855129277
2015-11-30,4.92460587303534
2015-12-07,5.186571287798265
2015-12-14,5.135665070437694
2015-12-21,5.135276542455842
2015-12-28,5.2389425723533005
2016-01-04,4.915273431323928
2016-01-11,4.668422174477389
2016-01-18,4.142912036699967
2016-01-25,5.029223113198514
2016-02-01,4.671837664782005
2016-02-08,4.664303421853646
2016-02-15,5.409163324917875
2016-02-22,3.576123196632565
2016-02-29,3.714656064478362
2016-03-07,4.649789126719644
2016-03-14,4.817564637773126
2016-03-21,4.586625550593182
2016-03-28,3.9176425010865996
2016-04-04,5.002042698168432
2016-04-11,4.853415619723164
2016-04-18,5.0056640099771466
2016-04-25,4.96523799546695
2016-05-02,5.065295840640184
2016-05-09,5.06198923127351
2016-05-16,4.685521502455204
2016-05-23,4.931603243386043
2016-05-30,4.481386177400711
2016-06-06,4.818125082750548
2016-06-13,4.420725610249867
2016-06-20,4.799452737227964
2016-06-27,4.693136852581689
2016-07-04,5.08904721043737
2016-07-11,4.934026790456056
2016-07-18,4.841576846221831
